model,regime,case,best_params,best_mean_rmse
Ridge,charging,case1_baseline,"{""alpha"": 0.001}",2.7394549188279806
Ridge,charging,case2_solar,"{""alpha"": 0.001}",2.739457041149837
Ridge,charging,case3_lags,"{""alpha"": 0.001}",0.2453302241617999
Ridge,charging,case4_solar_and_lags,"{""alpha"": 0.001}",0.2453313058489539
Ridge,discharging,case1_baseline,"{""alpha"": 10.0}",2.204063503055162
Ridge,discharging,case2_solar,"{""alpha"": 10.0}",2.2368705281775547
Ridge,discharging,case3_lags,"{""alpha"": 100.0}",1.6171088710589263
Ridge,discharging,case4_solar_and_lags,"{""alpha"": 10.0}",1.6032285762635647
RandomForest,charging,case1_baseline,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.121248413743349
RandomForest,charging,case2_solar,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",4.13599520228516
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.903210284673594
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",2.914524671683097
RandomForest,discharging,case1_baseline,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.706904129040246
RandomForest,discharging,case2_solar,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.8142970346764464
RandomForest,discharging,case3_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",1.9087561644034212
RandomForest,discharging,case4_solar_and_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",1.9606743128073305
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.267177325826615
HistGradientBoosting,charging,case2_solar,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.263499179117253
HistGradientBoosting,charging,case3_lags,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",2.896796186869795
HistGradientBoosting,charging,case4_solar_and_lags,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",2.9012533696123266
HistGradientBoosting,discharging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",2.7459024005959773
HistGradientBoosting,discharging,case2_solar,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",2.7453493573495966
HistGradientBoosting,discharging,case3_lags,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",2.0219145518585777
HistGradientBoosting,discharging,case4_solar_and_lags,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",2.0219145518585777
