model,regime,case,params,mean_rmse,fold0_rmse,fold1_rmse,fold2_rmse
Ridge,charging,case1_baseline,"{""alpha"": 0.001}",2.7394549188279806,5.128154508492219,1.4619642727322244,1.6282459752594978
Ridge,charging,case1_baseline,"{""alpha"": 0.01}",2.74816197927924,5.1552893514258145,1.461713721569586,1.6274828648423187
Ridge,charging,case1_baseline,"{""alpha"": 0.1}",2.8263819646147432,5.398949067326328,1.4597546411150588,1.6204421854028437
Ridge,charging,case1_baseline,"{""alpha"": 1.0}",3.202984692225703,6.535213238638379,1.4745093852701845,1.5992314527685434
Ridge,charging,case1_baseline,"{""alpha"": 10.0}",4.00714135986782,7.5216730215408125,2.1327047361887677,2.3670463218738784
Ridge,charging,case1_baseline,"{""alpha"": 100.0}",4.989570587887396,7.6275156985051495,3.6702804374642595,3.670915627692779
Ridge,charging,case2_solar,"{""alpha"": 0.001}",2.739457041149837,5.128161517935055,1.461963203988897,1.6282464015255598
Ridge,charging,case2_solar,"{""alpha"": 0.01}",2.7481832470945045,5.15535928271628,1.4617032305682591,1.6274872279989743
Ridge,charging,case2_solar,"{""alpha"": 0.1}",2.8265986726551167,5.399632051508759,1.459668080519387,1.620495885937204
Ridge,charging,case2_solar,"{""alpha"": 1.0}",3.205451490901931,6.540957890958725,1.4746524141884936,1.6007441675585752
Ridge,charging,case2_solar,"{""alpha"": 10.0}",4.033478863200223,7.559761087047866,2.1333206141019243,2.407354888450879
Ridge,charging,case2_solar,"{""alpha"": 100.0}",5.076176163331354,7.756169261475182,3.699761359289286,3.7725978692295947
Ridge,charging,case3_lags,"{""alpha"": 0.001}",0.24533022416179998,0.42278065063334663,0.18876050837858863,0.12444951347346465
Ridge,charging,case3_lags,"{""alpha"": 0.01}",0.30180633850976696,0.5664826741751541,0.2084267162571886,0.1305096250969582
Ridge,charging,case3_lags,"{""alpha"": 0.1}",0.4867807497203099,0.7325271732150168,0.46830159597743193,0.2595134799684808
Ridge,charging,case3_lags,"{""alpha"": 1.0}",0.8811127782104125,1.4325614664819328,0.7247465505241297,0.4860303176251746
Ridge,charging,case3_lags,"{""alpha"": 10.0}",1.8566785988220138,3.9073066512853463,0.8660086794242522,0.7967204657564427
Ridge,charging,case3_lags,"{""alpha"": 100.0}",2.8968428621090703,5.102060445693993,1.8588086959113803,1.7296594447218385
Ridge,charging,case4_solar_and_lags,"{""alpha"": 0.001}",0.24533130584895393,0.42278377298179926,0.18876034308055628,0.12444980148450624
Ridge,charging,case4_solar_and_lags,"{""alpha"": 0.01}",0.30181637538002953,0.566510103496077,0.2084272203170317,0.13051180232697976
Ridge,charging,case4_solar_and_lags,"{""alpha"": 0.1}",0.4867815913509717,0.7324577802798313,0.46837169562757486,0.2595152981455091
Ridge,charging,case4_solar_and_lags,"{""alpha"": 1.0}",0.8853682163497152,1.444211413499099,0.7254765931443293,0.48641664240571714
Ridge,charging,case4_solar_and_lags,"{""alpha"": 10.0}",1.9066976338049038,4.035463988233931,0.8657891405627941,0.8188397726179857
Ridge,charging,case4_solar_and_lags,"{""alpha"": 100.0}",3.00129363172733,5.313506518971402,1.8781299082326648,1.8122444679779224
Ridge,discharging,case1_baseline,"{""alpha"": 0.001}",2.773867278607,2.5202475780164204,2.6706959055099686,3.1306583522946116
Ridge,discharging,case1_baseline,"{""alpha"": 0.01}",2.771601715153455,2.5184850468047113,2.6696685528889215,3.126651545766733
Ridge,discharging,case1_baseline,"{""alpha"": 0.1}",2.749814392294489,2.5014433668132656,2.6595716450693434,3.088428165000858
Ridge,discharging,case1_baseline,"{""alpha"": 1.0}",2.5925274442789252,2.3746090097835686,2.5708380730727685,2.8321352499804386
Ridge,discharging,case1_baseline,"{""alpha"": 10.0}",2.204063503055162,2.1019549040678944,2.0479311335222974,2.462304471575295
Ridge,discharging,case1_baseline,"{""alpha"": 100.0}",2.2597812205312917,2.8444933470628238,1.3652516253150162,2.569598689216036
Ridge,discharging,case2_solar,"{""alpha"": 0.001}",2.9218761550741132,2.925529873058484,2.6672405690920993,3.1728580230717562
Ridge,discharging,case2_solar,"{""alpha"": 0.01}",2.9188345754939604,2.921277260106518,2.666447730476565,3.1687787358987984
Ridge,discharging,case2_solar,"{""alpha"": 0.1}",2.8896509168229922,2.8805309596388016,2.6585698138143656,3.1298519770158095
Ridge,discharging,case2_solar,"{""alpha"": 1.0}",2.6839949171326403,2.5998503687829295,2.584008975782879,2.868125406832111
Ridge,discharging,case2_solar,"{""alpha"": 10.0}",2.2368705281775547,2.1485991358183383,2.0783745823618376,2.483637866352488
