model,regime,case,params,mean_rmse,fold0_rmse,fold1_rmse,fold2_rmse
RandomForest,charging,case1_baseline,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",5.073979806154989,7.7636612042392645,3.147401413681107,4.310876800544594
RandomForest,charging,case1_baseline,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4.169997157671246,7.418310240844678,1.2306417387695923,3.8610394933994674
RandomForest,charging,case1_baseline,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",5.010294968958595,7.765191756916706,3.0040556570888097,4.261637492870269
RandomForest,charging,case1_baseline,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",4.18584973008909,7.3830778201401595,1.262440730333014,3.912030639794095
RandomForest,charging,case1_baseline,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",4.936064555626092,7.776223973849787,2.9015300895819416,4.130439603446544
RandomForest,charging,case1_baseline,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",4.135757410140511,7.354373104189608,1.3946168683896587,3.6582822578422665
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",5.101076681058606,7.830763065587773,3.1793281607494976,4.293138816838548
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",4.13328258140638,7.403215677301613,1.2300186222287077,3.7666134446888195
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",4.975078683987339,7.721121063257505,2.964690242279229,4.239424746425281
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",4.1730541541826405,7.383223043392896,1.2538911716109027,3.8820482475441223
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",4.937633835148408,7.779163463558697,2.9042728109510088,4.1294652309355175
RandomForest,charging,case1_baseline,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",4.136204201102346,7.354373104189609,1.3948678662196843,3.659371632897744
RandomForest,charging,case1_baseline,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",5.077618024491244,7.763498655487819,3.153980062763019,4.315375355222894
