model,regime,case,params,mean_rmse,fold0_rmse,fold1_rmse,fold2_rmse
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.380180877269127,7.23888247475197,1.7613447501832034,4.140315406872209
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.43020557086307,7.260980843441753,2.1122576678406304,3.9173782013068252
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.267177325826615,7.240172223513213,1.8234670835958675,3.7378926703707642
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.324491666942207,7.419702707460699,1.8862171947894528,3.667555098576472
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.6423595715304975,7.184827328576184,2.273102724078229,4.469148661937078
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.394512104793962,7.26790038907094,1.9283585151058282,3.9872774102051163
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.342825651493958,7.304616644105674,1.9755989501665427,3.7482613602096575
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.377638497330179,7.440941954468384,2.0197926618448827,3.6721808756772685
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.643620216069771,7.1845077399089465,2.2764094342987753,4.469943474001593
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.396933270345863,7.267509627120915,1.933114331731605,3.990175852185069
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.343914096986412,7.307881980583034,1.9755989501665427,3.7482613602096575
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.377638497330179,7.440941954468384,2.0197926618448827,3.6721808756772685
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.33479499558707,7.177778114053087,1.7631501940699734,4.063456678638148
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.486627054151793,7.251568559160551,2.345200785716993,3.863111817577834
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.347358996868828,7.242820886508521,2.122756073666266,3.6765000304316975
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.416265158079988,7.4340636915174425,2.1870161199696536,3.627715662752869
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.561392611573183,7.218459135661762,2.106639096525267,4.3590796025325185
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.321523215885779,7.251497661102342,1.8547614157118242,3.8583105708431678
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.408947673073455,7.258920153832828,2.2746437436241056,3.693279121763432
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.411044325102897,7.376997154669592,2.2607135053217373,3.5954223153173612
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.553818886554194,7.219051260741117,2.0873393913922533,4.355066007529212
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 5}",4.313841419002706,7.251190687539257,1.838069172081831,3.852264397387031
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.409356182211167,7.264015195075507,2.2707742297945606,3.693279121763432
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_depth"": null, ""max_iter"": 300, ""min_samples_leaf"": 15}",4.410675200949897,7.375889782210595,2.2607135053217373,3.5954223153173612
HistGradientBoosting,charging,case1_baseline,"{""l2_regularization"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 800, ""min_samples_leaf"": 5}",4.361157185758432,7.226584033204748,1.7510037968055319,4.105883727265017
